player_name,avg_release_spin_rate,avg_release_speed,avg_effective_speed,avg_vx0,avg_vy0,avg_vz0,age,height,weight,bats,throws,recurrence,event,num_games
"Avila, Pedro",2261.5948700317153,87.13983077925461,87.30380889476149,3.1271728216507406,-126.85478135751924,-3.459422838560212,27.497436266916434,71.0,210.0,0.0,0.0,0,0.0,57
"Baker, Bryan",2236.062959031289,90.22701329400027,90.65419988712668,2.1773108512839947,-131.3112834908424,-6.028795097085371,29.59264691502884,78.0,245.0,0.0,0.0,0,0.0,21
"Balazovic, Jordan",1951.7,90.11,90.6,6.0038128259884616,-131.1165176057283,-4.558106608209146,25.496235455167692,77.0,215.0,0.0,0.0,0,0.0,2
"Banks, Tanner",2246.431360091588,88.86342361875208,88.52118936103606,-6.490802850472529,-129.24905238856496,-4.602332756864269,32.68213967187273,73.0,210.0,0.0,0.0,0,0.0,66
"Barlow, Scott",2496.7669497301245,83.72914140949494,84.5753014294504,3.3008242214919243,-121.88772361784827,-1.8095935620824826,31.472963723477072,75.0,210.0,0.0,0.0,0,0.0,66
"Barnes, Jacob",2404.5418790714616,92.12340789209293,93.28664951844738,3.696825143329517,-134.13826141598804,-4.993914036521009,34.225156636655605,74.0,231.0,0.0,0.0,0,0.0,65
"Barnes, Matt",1889.6369938616097,86.20985607478386,86.93680414816313,4.995777971493344,-125.38000996382317,-5.035688433071344,33.814130352118035,76.0,208.0,0.0,0.0,0,0.0,18
"Barnhart, Tucker",1250.1818181818182,46.0,43.42727272727273,2.2780775785682232,-66.40549627242832,5.3846949392193855,33.45653661875428,71.0,192.0,0.0,0.0,0,0.0,1
"Barria, Jaime",2102.9893522626444,87.34733806566105,87.04964507542148,5.197467678355734,-127.09358944797094,-4.875849980672196,27.66963267168606,73.0,210.0,0.0,0.0,0,0.0,3
"Bassitt, Chris",2137.1008949107836,86.3769415030766,86.4898511659174,5.126095441850778,-125.64728865730793,-1.7477790418432992,35.320930039615874,77.0,215.0,0.0,0.0,0,0.0,33
"Bauers, Jake",1629.09469185785,65.1438877642825,62.656455240665764,-2.3400018070462965,-94.84684516962011,-0.6026662695316265,28.732375085557837,73.0,195.0,0.0,0.0,0,0.0,4
"Baumann, Mike",2314.480157523486,92.37290140857861,92.99989360391189,5.316827958164442,-134.37298178745587,-4.847646412603447,28.788878661285374,76.0,235.0,0.0,0.0,0,0.0,58
"Beede, Tyler",1641.6661174033768,87.03441881261367,87.19775665963246,5.60464727764149,-126.59312724657924,-2.592131267399573,30.886242299794663,74.0,216.0,0.0,0.0,0,0.0,15
"Beeks, Jalen",2139.4722902843023,91.16436203201849,91.81429632259452,-3.5924886346976885,-132.68993565323234,-5.430584380349721,30.954177023668002,71.0,200.0,0.0,0.0,0,0.0,76
"Bellatti, Andrew",2436.9482401656314,90.02705314009661,89.47222222222221,5.210364879943523,-131.00213107608832,-4.265714806752615,32.62331736253707,73.0,190.0,0.0,0.0,0,0.0,3
"Bibee, Tanner",2425.486200078782,88.8502637211912,89.42316068918294,5.774279302711655,-129.24537506235617,-4.525766947741374,25.328597591431265,74.0,205.0,0.0,0.0,0,0.0,37
"Bickford, Phil",2168.0640807917844,90.40262552436533,91.43482477959752,6.595794590327074,-131.51825666961074,-2.1807795467820257,28.936593864725282,76.0,200.0,0.0,0.0,0,0.0,11
"Bielak, Brandon",2280.2548995311363,88.23641663335627,86.90538506032232,3.5278520961354145,-128.38282737317297,-4.3139061961480305,28.116814966917634,74.0,208.0,0.0,0.0,0,0.0,18
"Blach, Ty",2112.6164190047657,85.00573734186447,83.53922934607017,-8.657562597450058,-123.56930787147179,-2.6798389627509085,33.63399912886567,73.0,215.0,0.0,0.0,0,0.0,22
"Blanco, Ronel",2028.404942458281,88.27007338363195,89.00938240506204,3.6047899683252655,-128.4328599984316,-4.720749107642522,30.82181154460415,72.0,180.0,0.0,0.0,0,0.0,33
"Blewett, Scott",2016.1738089240264,89.37171812363808,90.72312513954253,5.491300742633103,-129.98457863407725,-5.762880715942989,28.326716860597763,78.0,245.0,0.0,0.0,0,0.0,15
"Bote, David",1461.4,67.12666666666667,66.27333333333334,4.540783797255927,-97.72255934630388,-1.6027161683119908,31.266255989048595,73.0,205.0,0.0,0.0,0,0.0,1
