player_name,avg_release_spin_rate,avg_release_speed,avg_effective_speed,avg_vx0,avg_vy0,avg_vz0,age,avg_pitches,height,weight,bats,throws,recurrence,event,num_games
"Lopez, José",2147.3529411764707,91.49411764705879,91.2333333333333,-4.586625494960924,-133.05241482001884,-5.190082606890317,24.166096281086013,24.666666666666668,73.0,200.0,0.0,0.0,0,0.0,3
"Lucas, Easton",2081.476902173913,89.63618598526368,89.87745077741239,-5.922809423910749,-130.3477575133904,-4.455025638670441,26.974674880219027,24.666666666666668,76.0,180.0,0.0,0.0,0,0.0,6
"Lucchesi, Joey",2155.6799724420543,86.88363204371535,87.03015219236117,-6.672634474503708,-126.33966790685632,-3.9245816020887645,30.064339493497602,77.33333333333333,77.0,225.0,0.0,0.0,0,0.0,9
"Luplow, Jordan",1599.4545454545455,57.68030303030303,56.36363636363636,3.8552561834626893,-83.77851896189594,0.9652168724310868,29.942505133470227,7.0,73.0,195.0,0.0,0.0,0,0.0,2
"Lynn, Lance",2403.4226308628276,89.50957965646111,90.03774566358179,7.991522061196694,-130.14931309921133,-3.0603349433127995,36.132302613037,95.79411764705883,77.0,270.0,0.0,0.0,0,0.0,34
"Madris, Bligh",1693.7272727272727,66.73636363636363,64.9090909090909,2.5977204166956245,-97.08573850327716,-1.832467980316297,27.351129363449694,11.0,72.0,208.0,0.0,0.0,0,0.0,1
"Manaea, Sean",1980.725383129461,89.75476922811589,91.13426973566347,-7.658514926866724,-130.49389762034937,-2.8094061790742306,31.39893645027115,54.0,77.0,245.0,0.0,0.0,0,0.0,39
"Manoah, Alek",2214.468003936431,88.21151732240953,88.81991313864307,6.9735539285494195,-128.21689638706098,-3.924518359348206,25.365796421237903,87.61904761904762,78.0,285.0,0.0,0.0,0,0.0,21
"Marinaccio, Ron",2158.845071400393,88.3243467612095,88.59690401024777,8.630466140309496,-128.29315206615425,-2.7025878354352018,27.901828493204267,20.448979591836736,74.0,205.0,0.0,0.0,0,0.0,49
"Mariot, Michael",2280.3658536585367,87.67317073170732,87.19999999999999,6.234007738171048,-127.4927160881867,-4.98797465721564,34.87200547570158,41.0,72.0,190.0,0.0,0.0,0,0.0,1
"Marsh, Alec",2338.0406392204272,89.18178686502102,89.31931752620235,6.609462881610325,-129.69883187511257,-3.3770137558746973,25.256995611386237,78.94117647058823,74.0,220.0,0.0,0.0,0,0.0,17
"Marte, Yunior",2466.7941903341543,93.2548248790205,93.14592637913552,5.686033060523899,-135.6491365661315,-4.219274848309543,28.37502333395557,17.5,74.0,180.0,0.0,0.0,0,0.0,44
"Martinez, Justin",1930.8580066277218,95.9181337103676,96.05088969945041,5.548305955069876,-139.4275685671997,-7.363602895659501,21.96646132785763,21.583333333333332,75.0,180.0,0.0,0.0,0,0.0,12
"Martinez, Nick",2293.3997405960963,87.03113409829123,86.45980585674498,5.390787125586986,-126.57537420958644,-4.3325619025775435,32.899897330595486,28.078125,73.0,200.0,0.0,0.0,0,0.0,64
