player_name,previous_injury_date,next_injury_date,num_games,average_spin_rate,average_velocity,average_effective_speed,average_vx0,average_vy0,average_vz0,weight,height,bats,throws,recurrence,EVENT
"Cabrera, Oswaldo",2024-01-01,2024-12-31,1,1430.4166666666667,59.375,58.44166666666666,6.120113418805573,-86.13472568719226,2.707270782482692,200.0,72.0,0,1,0,False
"Canning, Griffin",2024-01-01,2024-12-31,34,2184.2836008943527,89.31923264649551,88.6983471733671,4.855247823997687,-129.94978502256208,-3.857677757866329,180.0,74.0,2,1,0,False
"Cano, Yennier",2024-01-01,2024-12-31,73,2076.6211824761285,93.73789043783243,93.16970439029132,8.43084139174807,-136.22344159261544,-3.2609448822903615,185.0,76.0,2,1,0,False
"Carasiti, Matt",2024-01-01,2024-12-31,11,1609.8281594304387,88.21372882819794,88.56881386554623,4.543715799370821,-128.41358858950917,-3.8706756360923693,205.0,74.0,2,1,0,False
"Castellanos, Humberto",2024-01-01,2024-12-31,8,1998.0681259600613,87.45539554531491,87.18535906298003,8.791798217758936,-127.04247894785411,0.9476507811109373,222.0,71.0,2,1,0,False
"Castillo, Max",2024-01-01,2024-12-31,1,1992.0416666666667,87.46249999999999,88.05957446808512,6.887917195120831,-127.19057673428775,-4.386224412905972,280.0,74.0,2,1,0,False
"Castro, Willi",2024-01-01,2024-12-31,2,1335.0277777777778,53.66944444444444,51.919444444444444,1.9106518427328676,-77.89909149856774,2.564468480147701,206.0,73.0,0,1,0,False
"Cease, Dylan",2024-01-01,2024-12-31,36,2671.864986814622,90.88839490836473,90.88210142007148,3.665610336745991,-132.2527714491572,-4.888028266746117,195.0,74.0,2,1,0,False
"Cecconi, Slade",2024-01-01,2024-12-31,21,2342.671149286175,89.17902009627434,89.65282273162202,6.344369910050418,-129.6887248615042,-3.138368642656375,219.0,76.0,2,1,0,False
"Chafin, Andrew",2024-01-01,2024-12-31,64,2337.4651852077654,87.26673300531431,87.6610517728252,-5.8806634891389695,-126.86443590320617,-5.876140374932671,235.0,74.0,2,0,0,False
"Chapman, Aroldis",2024-01-01,2024-12-31,69,2184.576119092107,94.49295483282046,96.46214600283076,-1.2662715782071203,-137.50656855280124,-6.496203404222666,218.0,76.0,1,0,0,False
"Chavez, Jesse",2024-01-01,2024-12-31,49,2133.1394033054194,87.91993150858691,88.04874948846822,5.557086140370215,-127.95595790512415,-2.35219478918519,175.0,73.0,2,1,0,False
"Chirinos, Yonny",2024-01-01,2024-12-31,8,2099.887391406806,89.16837042383341,88.82981989476954,4.213588025435934,-129.71490802174628,-5.23177811425124,225.0,74.0,2,1,0,False
"Civale, Aaron",2024-01-01,2024-12-31,33,2629.2889219981776,86.59509420665681,85.5135879411715,2.425174892905633,-126.03048081865937,-3.652731522434708,215.0,74.0,2,1,0,False
"Clase, Emmanuel",2024-01-01,2024-12-31,84,2583.61461630933,97.8402858411752,98.68360054913673,1.4226987341000579,-142.44781718011598,-6.394286873059335,206.0,74.0,2,1,0,False
"Cleavinger, Garrett",2024-01-01,2024-12-31,70,2532.3465955340234,89.90063980777963,89.42224992026885,-2.7115211457683133,-130.88439498010374,-2.6204134202774174,220.0,73.0,2,0,0,False
