player_name,game_date,num_pitches,avg_release_spin_rate,avg_release_speed,avg_effective_speed,avg_vx0,avg_vy0,avg_vz0,recurrence,start,stop,event,weight,height,bats,throws,age
"Morejon, Adrian",2022-09-18,24,2446.1666666666665,92.39166666666668,92.5875,-5.629474420537759,-134.32266587736189,-5.589253916262362,3,18,19,0.0,224.0,71.0,0,0,23.5564681724846
"Morejon, Adrian",2022-09-22,19,2461.4210526315787,93.3736842105263,93.47368421052632,-6.123621274616609,-135.69429439469505,-5.338539544073231,3,19,20,0.0,224.0,71.0,0,0,23.567419575633128
"Morejon, Adrian",2022-09-23,5,2426.2,94.8,95.86,-6.385980075980365,-137.98226257854162,-7.317116956682915,3,20,21,0.0,224.0,71.0,0,0,23.57015742642026
"Morejon, Adrian",2022-09-29,30,2413.7,91.66333333333334,91.87,-4.628778602707731,-133.4127128447836,-3.4228463587544056,3,21,22,0.0,224.0,71.0,0,0,23.586584531143053
"Morejon, Adrian",2022-10-03,36,2303.9444444444443,91.05555555555556,91.29722222222222,-5.654035460768286,-132.4137271829987,-3.8497746563260735,3,22,23,0.0,224.0,71.0,0,0,23.59753593429158
"Morejon, Adrian",2022-10-08,29,2472.7241379310344,94.10344827586206,93.94137931034484,-6.939549202626622,-136.6687485046701,-6.693226967059854,3,23,24,0.0,224.0,71.0,0,0,23.61122518822724
"Morejon, Adrian",2022-10-22,12,2531.4166666666665,91.25,91.36666666666667,-4.924673425200298,-132.7381547811697,-4.104811981527949,3,24,25,0.0,224.0,71.0,0,0,23.64955509924709
"Moreta, Dauri",2022-03-22,4,2129.0036406765416,92.54207645520839,92.583794495105,4.69043156465275,-134.6479413057222,-4.631591782143625,0,0,1,0.0,185.0,74.0,0,0,25.932922655715263
"Moreta, Dauri",2022-03-28,15,2129.0036406765416,92.54207645520839,92.583794495105,4.69043156465275,-134.6479413057222,-4.631591782143625,0,1,2,0.0,185.0,74.0,0,0,25.949349760438057
"Moreta, Dauri",2022-03-30,10,2129.0036406765416,92.54207645520839,92.583794495105,4.69043156465275,-134.6479413057222,-4.631591782143625,0,2,3,0.0,185.0,74.0,0,0,25.95482546201232
"Moreta, Dauri",2022-04-02,5,2129.0036406765416,92.54207645520839,92.583794495105,4.69043156465275,-134.6479413057222,-4.631591782143625,0,3,4,0.0,185.0,74.0,0,0,25.963039014373717
"Moreta, Dauri",2022-04-04,5,2129.0036406765416,92.54207645520839,92.583794495105,4.69043156465275,-134.6479413057222,-4.631591782143625,0,4,5,0.0,185.0,74.0,0,0,25.968514715947983
"Moreta, Dauri",2022-04-07,26,2147.8076923076924,91.45384615384616,91.8846153846154,3.825285195031378,-133.11361515514403,-4.748306413257626,0,5,6,0.0,185.0,74.0,0,0,25.976728268309376
"Moreta, Dauri",2022-04-09,22,2134.7272727272725,89.73636363636363,89.67272727272727,4.550855505070317,-130.55569855120868,-4.171618260783361,0,6,7,0.0,185.0,74.0,0,0,25.982203969883642
"Moreta, Dauri",2022-04-13,27,2054.4074074074074,92.65925925925929,93.0074074074074,4.553035765552264,-134.85950518894504,-3.1702302698231044,0,7,8,0.0,185.0,74.0,0,0,25.99315537303217
"Moreta, Dauri",2022-04-15,14,1993.2857142857144,92.4,92.40714285714286,4.520040588079139,-134.39879864394013,-4.912835485404288,0,8,9,0.0,185.0,74.0,0,0,25.998631074606433
"Moreta, Dauri",2022-04-16,14,1999.5,92.23571428571428,92.29285714285712,4.12852478697523,-134.24701229812973,-3.188597321196465,0,9,10,0.0,185.0,74.0,0,0,26.001368925393567
"Moreta, Dauri",2022-04-19,7,2280.285714285714,96.27142857142856,96.45714285714288,5.979182735824293,-139.96224859352725,-6.898879186080608,0,10,11,0.0,185.0,74.0,0,0,26.00958247775496
"Moreta, Dauri",2022-04-22,16,2055.0,92.39375,92.55625,4.7037675086495785,-134.44200259215623,-4.3464525737572925,0,11,12,0.0,185.0,74.0,0,0,26.017796030116358
"Moreta, Dauri",2022-04-23,11,2151.5,88.85454545454546,89.19090909090909,4.147276186691237,-129.39587686674744,-4.068347738804215,0,12,13,0.0,185.0,74.0,0,0,26.02053388090349
